sigma_a,sigma_b,r,c0_a
1.1,0.7,0.905160763467986,1.07876354966406
1.2,0.7,0.943311600911719,1.09229064654
1.3,0.7,0.978157157628746,1.10418561606885
1.4,0.7,1.01006660448466,1.11471356141741
1.5,0.7,1.03936199922611,1.12408684870828
1.6,0.7,1.06632466366809,1.13247737643581
1.7,0.7,1.09120068145734,1.14002559080388
1.8,0.7,1.11420565007851,1.14684721455343
1.9,0.7,1.13552878860599,1.15303833982651
2,0.7,1.15533648273823,1.15867932889806
0.1,0.8,0.199547209806152,0.653929154962095
0.2,0.8,0.321991818693366,0.747126561825897
0.3,0.8,0.429717122595218,0.815704573347394
0.4,0.8,0.526399966230799,0.868893658441086
0.5,0.8,0.613961059522142,0.91149857588952
0.6,0.8,0.693629085456309,0.946396032194651
0.7,0.8,0.766310080820263,0.975463566413006
0.8,0.8,0.83273802799184,1
0.9,0.8,0.893541689747697,1.02094187915741
1,0.8,0.949275960753061,1.03898563581563
1.1,0.8,1.00043741663423,1.05466156005133
1.2,0.8,1.04747280229035,1.0683810857305
1.3,0.8,1.09078441212668,1.0804683596777
1.4,0.8,1.1307341547644,1.09118206176325
1.5,0.8,1.16764707456512,1.10073091615301
1.6,0.8,1.20181462920735,1.10928497406825
1.7,0.8,1.23349780769468,1.11698397550729
1.8,0.8,1.2629301049484,1.1239436527029
1.9,0.8,1.29032031097334,1.1302605356468
2,0.8,1.31585511212828,1.13601566930487
0.1,0.9,0.202075614779239,0.643772857300093
0.2,0.9,0.32982603103466,0.7321724089259
0.3,0.9,0.444464184682975,0.798084469526758
0.4,0.9,0.549198724119143,0.849719735909382
0.5,0.9,0.645631282895655,0.891419166311386
0.6,0.9,0.734731108243882,0.925809487947732
0.7,0.9,0.817184684663798,0.954620317085569
0.8,0.9,0.893541689747699,0.979058120842585
0.9,0.9,0.964279982182752,1
1,0.9,1.02983473136966,1.01810353403919
1.1,0.9,1.09061087899043,1.03387348460779
1.2,0.9,1.14698791466981,1.04770456118618
1.3,0.9,1.19932132825773,1.05991006961992
1.4,0.9,1.24794286929763,1.07074179972469
1.5,0.9,1.29316060651718,1.08040423885291
1.6,0.9,1.33525919744515,1.08906497543765
1.7,0.9,1.37450048676662,1.0968624646462
1.8,0.9,1.41112441861727,1.10391192111325
1.9,0.9,1.44535019151478,1.11030985151329
2,0.9,1.47737757516715,1.11613758247084
0.1,1,0.2041755495179,0.635442358389268
0.2,1,0.336460923290815,0.719748874157503
0.3,1,0.457147823231785,0.783310593929564
0.4,1,0.569083564152899,0.833523398320242
0.5,1,0.673622230226033,0.874352406421694
0.6,1,0.771522494763902,0.908219282795055
0.7,1,0.863280889855779,0.936730528480018
0.8,1,0.949275958774829,0.96101436316686
0.9,1,1.02983474216507,0.981896466581008
1,1,1.10526315789473,1.00000000000001
1.1,1,1.17585882828544,1.01580652294711
1.2,1,1.24191483663758,1.02969510424664
1.3,1,1.30371947838817,1.04196858577477
1.4,1,1.36155424383819,1.05287185773587
1.5,1,1.41569140853618,1.06260496499233
1.6,1,1.4663918588902,1.07133274249292
1.7,1,1.5139034183171,1.07919204523477
1.8,1,1.55845973223918,1.08629726389611
1.9,1,1.6002796948467,1.09274460093494
2,1,1.63956729955273,1.09861541237387
0.1,1.1,0.205947749032199,0.628485480505207
0.2,1.1,0.342152472098062,0.709265411192752
0.3,1.1,0.46816901044013,0.770751405252162
0.4,1.1,0.586565869104197,0.819673527518151
0.5,1.1,0.698509539603741,0.859686042161508
0.6,1.1,0.804594423211135,0.893039453213496
0.7,1.1,0.905160763439166,0.921236450248528
0.8,1.1,1.00043741663411,0.945338439949098
0.9,1.1,1.09061087899008,0.966126515392735
1,1.1,1.17585882828515,0.984193477053365
1.1,1.1,1.25636518428689,1.00000000000012
1.2,1.1,1.33232524138287,1.01391077407288
1.3,1.1,1.40394555941832,1.02621879216594
1.4,1.1,1.47144130434067,1.03716227856213
1.5,1.1,1.53503260021194,1.04693685337894
1.6,1.1,1.59494077804717,1.05570450131042
1.7,1.1,1.65138498913909,1.06360032745315
1.8,1.1,1.70457938362834,1.07073773420972
1.9,1.1,1.75473092298527,1.07721245182238
2,1.1,1.80203779102861,1.08310571263613
0.1,1.2,0.207463582609496,0.622588089877192
0.2,1.2,0.347088550572226,0.700301667824068
0.3,1.2,0.477831669733731,0.759948241061665
0.4,1.2,0.602045977248879,0.807703680099392
0.5,1.2,0.720758989327203,0.846960646554197
0.6,1.2,0.83444175545717,0.879824533411979
0.7,1.2,0.943311600919063,0.907709353432598
0.8,1.2,1.04747280228833,0.931618914272388
0.9,1.2,1.14698791466457,0.952295438819425
1,1.2,1.24191483663028,0.970304895760979
1.1,1.2,1.33232524137868,0.986089225933587
1.2,1.2,1.41831232630929,1.00000000000111
1.3,1.2,1.49999237406737,1.0123210599091
1.4,1.2,1.57750284955267,1.02328431237895
1.5,1.2,1.65099874004356,1.03308108914095
1.6,1.2,1.72064822570789,1.04187054228339
1.7,1.2,1.78662831654431,1.04978597570468
1.8,1.2,1.84912085201706,1.05693972143106
1.9,1.2,1.90830903833739,1.06342694717292
2,1.2,1.96437459288936,1.06932866988246
0.1,1.3,0.208775052267999,0.61752511832026
0.2,1.3,0.351410206970928,0.692550347209225
0.3,1.3,0.486370307848254,0.750560147819689
0.4,1.3,0.615841506493645,0.797261961152786
0.5,1.3,0.740750992609116,0.835825045509634
0.6,1.3,0.861481159110531,0.868230072371863
0.7,1.3,0.978157157629234,0.895814383930278
0.8,1.3,1.09078441212138,0.919531640328059
0.9,1.3,1.19932132823078,0.940089930402431
1,1.3,1.30371947832579,0.958031414273703
1.1,1.3,1.40394555933874,0.973781207905213
1.2,1.3,1.49999237402384,0.987678940152328
1.3,1.3,1.59188297546374,1.00000000002271
1.4,1.3,1.6796705688503,1.01097036476972
1.5,1.3,1.76343589384352,1.02077727378565
1.6,1.3,1.84328326085253,1.02957711846924
1.7,1.3,1.91933603473103,1.03750140957822
1.8,1.3,1.99173208617978,1.04466137833913
1.9,1.3,2.06061953195282,1.05115158243606
2,1.3,2.12615294221045,1.0570527707549
0.1,1.4,0.209920958231164,0.613131068436236
0.2,1.4,0.35522541654135,0.685781632116179
0.3,1.4,0.493968705745691,0.742328538896721
0.4,1.4,0.628207432402442,0.788078127439942
0.5,1.4,0.758798799210015,0.826006488333183
0.6,1.4,0.886065173723885,0.857985816827176
0.7,1.4,1.01006660448472,0.885286438582519
0.8,1.4,1.13073415585137,0.908817937287678
0.9,1.4,1.2479428692613,0.929258200301281
1,1.4,1.36155424365604,0.947128142380929
1.1,1.4,1.47144130390784,0.962837721720007
1.2,1.4,1.57750284897948,0.976715688061492
1.3,1.4,1.67967056894449,0.989029635069352
1.4,1.4,1.77791139110083,1
1.5,1.4,1.87222667397261,1.00981014161953
1.6,1.4,1.96264941749607,1.01861379520464
1.7,1.4,2.04924034631741,1.02654071381808
1.8,1.4,2.13208348221025,1.03370102564188
1.9,1.4,2.21128163576462,1.0401886561539
2,1.4,2.28695210653596,1.04608405606179
0.1,1.5,0.210930845832122,0.609281517662989
0.2,1.5,0.358618247581225,0.679820240365522
0.3,1.5,0.500772882220141,0.735053838326051
0.4,1.5,0.63935061522629,0.779941376989887
0.5,1.5,0.775162274950666,0.817290140743829
0.6,1.5,0.908493383622307,0.848877005650128
0.7,1.5,1.03936199921223,0.87591315130667
0.8,1.5,1.16764707481861,0.899269083656115
0.9,1.5,1.29316060651494,0.919595761148454
1,1.5,1.41569140841597,0.937395035074198
1.1,1.5,1.53503259949196,0.953063147005576
1.2,1.5,1.65099874031437,0.966918910709728
1.3,1.5,1.76343589384352,0.979222726214353
1.4,1.5,1.87222667397261,0.990189858380468
1.5,1.5,1.97729171025915,1
1.6,1.5,2.0785886182803,1.00880434248883
1.7,1.5,2.17610930980099,1.01673093058257
1.8,1.5,2.26987629853783,1.0238888010843
1.9,1.5,2.35993850058281,1.03037123900908
2,1.5,2.44636689715973,1.03625837798385
0.1,1.6,0.211827614048503,0.605881113908104
0.2,1.6,0.361655135323459,0.674530172679821
0.3,1.6,0.506900281294416,0.728579625829583
0.4,1.6,0.649440492204895,0.772684984684827
0.5,1.6,0.790058480235614,0.809504662327959
0.6,1.6,0.92902141599873,0.840731031793509
0.7,1.6,1.06632466411744,0.867522623158538
0.8,1.6,1.20181462863647,0.890715026323514
0.9,1.6,1.33525919741353,0.910935024580027
1,1.6,1.46639185889069,0.928667257506861
1.1,1.6,1.59494077791874,0.944295498750768
1.2,1.6,1.72064822570789,0.95812945771661
1.3,1.6,1.84328326085253,0.970422881530756
1.4,1.6,1.96264941749606,0.98138620479536
1.5,1.6,2.0785886182803,0.991195657511173
1.6,1.6,2.19098224528507,1
1.7,1.6,2.29975013012041,1.00792562252103
1.8,1.6,2.40484809455427,1.01508048843523
1.9,1.6,2.50626456080377,1.02155723944477
2,1.6,2.60401664682024,1.02743567950716
0.1,1.7,0.212629287578802,0.602855550414319
0.2,1.7,0.364389276729068,0.669804304407531
0.3,1.7,0.512446407618579,0.722781618996855
0.4,1.7,0.658617064636847,0.766175446231312
0.5,1.7,0.803669881257447,0.802511864296196
0.6,1.7,0.947868256120786,0.83340774380669
0.7,1.7,1.09120068145734,0.859974409196123
0.8,1.7,1.23349780769637,0.883016024491641
0.9,1.7,1.37450048676662,0.903137535353798
1,1.7,1.51390341734992,0.920807955202816
1.1,1.7,1.65138498922594,0.936399672515443
1.2,1.7,1.78662831651129,0.950214024308508
1.3,1.7,1.91933603473103,0.962498590421778
1.4,1.7,2.04924034631742,0.973459286181917
1.5,1.7,2.17610930980099,0.983269069417431
1.6,1.7,2.29975013012043,0.992074377478971
1.7,1.7,2.42001008992122,1.00000000000001
1.8,1.7,2.53677568238849,1.0071528466025
1.9,1.7,2.64997043825825,1.01362491529487
2,1.7,2.75955187120822,1.0194956696039
0.1,1.8,0.213350249913236,0.600146061011918
0.2,1.8,0.366863772351508,0.665557117399248
0.3,1.8,0.517489699758526,0.717559857118053
0.4,1.8,0.666996942596586,0.760304662991887
0.5,1.8,0.816150787682883,0.796199154260153
0.6,1.8,0.965222221227084,0.826792291182756
0.7,1.8,1.11420565007849,0.853152785446577
0.8,1.8,1.26293010534274,0.876056347076643
0.9,1.8,1.41112441861726,0.896088078886759
1,1.8,1.55845973223949,0.913702736103771
1.1,1.8,1.70457938389542,0.929262265700173
1.2,1.8,1.84912085201706,0.943060278568938
1.3,1.8,1.99173208617559,0.955338621662262
1.4,1.8,2.13208348200883,0.96629897443392
1.5,1.8,2.26987629853785,0.976111198915699
1.6,1.8,2.40484809455426,0.984919511564777
1.7,1.8,2.53677568239622,0.992847153400425
1.8,1.8,2.66547605599386,1.00000000000678
1.9,1.8,2.79080572212338,1.00646940586782
2,1.8,2.91265883065127,1.01233448351478
0.1,1.9,0.214002119652118,0.597705557881322
0.2,1.9,0.369113913487549,0.661719520247869
0.3,1.9,0.522095163476907,0.712833053483161
0.4,1.9,0.674677973680986,0.754984221456474
0.5,1.9,0.827632434262267,0.790473952562234
0.6,1.9,0.981245869253598,0.820789757181228
0.7,1.9,1.13552878860589,0.846961660173547
0.8,1.9,1.29032031097302,0.869739464353366
0.9,1.9,1.44535019196462,0.889690148304894
1,1.9,1.60027969484648,0.907255399065128
1.1,1.9,1.75473092358318,0.92278754799269
1.2,1.9,1.90830903833735,0.936573052827088
1.3,1.9,2.06061953195283,0.94884841756394
1.4,1.9,2.2112816357648,0.959811343846084
1.5,1.9,2.35993850053123,0.969628761008333
1.6,1.9,2.50626456075542,0.978442760577282
1.7,1.9,2.64997043827453,0.98637508471906
1.8,1.9,2.79080572211947,0.993530594152862
1.9,1.9,2.92855996437343,1.00000000001213
2,1.9,3.06306222994397,1.00586205325243
0.1,2,0.21459438512181,0.595495866974202
0.2,2,0.371168874311096,0.658235089217747
0.3,2,0.52631711751108,0.708534446770331
0.4,2,0.681742825492611,0.750141142795564
0.5,2,0.838227029629091,0.785259486495
0.6,2,0.996080042228908,0.815321088834249
